taxa_id	count_won_vote	count_truth_table	accuracy
52584	1	1	1
52766	1	1	1
52959	1	1	1
52972	5	5	1
53246	5	5	1
53335	4	4	1
53346	1	1	1
53357	1	1	1
53358	1	1	1
53435	1	1	1
53460	1	1	1
53461	1	1	1
53572	1	1	1
53945	2	2	1
53946	1	1	1
54120	2	2	1
54253	1	1	1
54254	1	1	1
54258	1	1	1
54291	0	1	0
54736	1	1	1
55080	1	3	0.333333333333333
55148	1	1	1
55206	3	3	1
55208	1	1	1
55601	1	1	1
55802	3	3	1
56635	1	1	1
56636	1	1	1
56812	4	4	1
57499	1	1	1
57975	2	3	0.666666666666667
58138	1	1	1
58180	4	4	1
59600	1	1	1
59753	1	1	1
59754	1	1	1
60217	1	1	1
60478	7	7	1
60480	1	1	1
60481	4	4	1
60552	4	4	1
60890	1	1	1
60892	1	1	1
60893	1	1	1
60961	2	2	1
61434	3	3	1
